country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Pilbara,7,-22.607355,117.795753,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2019,1,1,0,0,27.2,-156,0,13.4,0,0,0,0,0,943.7,292,7.707,130,,
2019,1,1,1,0,26.4,-141,0,14.4,0,0,0,0,0,943.7,278.4,9.701,123,,
2019,1,1,2,0,25.7,-130,0,14.8,0,0,0,0,0,943.9,279.7,7.585,113,,
2019,1,1,3,0,25,-122,0,15.3,0,0,0,0,0,944.2,284.2,7.444,102,,
2019,1,1,4,0,25.6,-115,0,15.8,10,77,7,17,0,944.6,282.6,6.601,90,,
2019,1,1,5,0,27.5,-110,0.5,16.4,56,561,132,189,0,945,282.2,5.052,77,,
2019,1,1,6,0,29.3,-106,0,17,80,801,354,433,0,945.5,295.8,4.32,64,,
2019,1,1,7,0,31.2,-102,0,16.4,93,904,573,666,0,945.7,33.2,7.304,51,,
2019,1,1,8,0,33.1,-99,0,14.6,103,957,763,866,0,945.5,27.5,6.949,37,,
2019,1,1,9,0,35,-96,0,12.8,111,985,903,1013,0,945.4,27.8,6.627,23,,
2019,1,1,10,0,36.6,-96,0,11.8,112,1002,985,1097,0,945,27.9,6.504,10,,
2019,1,1,11,0,37.8,109,0,11.4,113,1000,995,1108,0,944.5,27.8,6.998,5,,
2019,1,1,12,0,39,96,0,11.1,113,986,934,1047,0,943.9,14.5,7,18,,
2019,1,1,13,0,39.4,98,0,11,109,956,811,920,0,943.5,356,8.021,32,,
2019,1,1,14,0,39,101,0,11.2,103,906,634,736,0,943.4,347.6,9.125,46,,
2019,1,1,15,0,38.6,104,0,11.5,91,817,421,512,0,943.2,350.7,8.982,59,,
2019,1,1,16,0,37.7,108,0.1,12.3,69,648,201,270,0,943.5,346.7,10.252,72,,
2019,1,1,17,0,36.1,113,14.2,13.5,34,86,14,48,0,944.1,338.7,10.526,85,,
2019,1,1,18,0,34.5,119,0,14.8,0,0,0,0,0,944.7,340.7,11.618,98,,
2019,1,1,19,0,32.9,127,0,15.3,0,0,0,0,0,945.1,336.3,11.383,109,,
2019,1,1,20,0,31.3,137,0,14.9,0,0,0,0,0,945.3,336.8,11.076,120,,
2019,1,1,21,0,29.7,150,0,14.6,0,0,0,0,0,945.5,331.6,9.553,128,,
2019,1,1,22,0,28.5,167,0,14.6,0,0,0,0,0,945.4,327.1,5.531,133,,
2019,1,1,23,0,27.6,-174,0,14.9,0,0,0,0,0,945.1,317.2,3.292,134,,
2019,1,2,0,0,26.7,-156,0,15.2,0,0,0,0,0,944.7,245.2,3.132,130,,
2019,1,2,1,0,26,-141,0,15.4,0,0,0,0,0,944.6,255.2,6.109,123,,
2019,1,2,2,0,25.3,-130,0,15.6,0,0,0,0,0,944.8,239.7,7.929,113,,
2019,1,2,3,0,24.7,-122,0,15.8,0,0,0,0,0,945,223.7,8.276,102,,
2019,1,2,4,0,25.5,-115,0.8,16.1,10,66,6,16,0,945.2,222.1,8.308,90,,
2019,1,2,5,0,27.8,-110,7.1,16.5,72,419,103,175,0,945.5,215.2,7.499,77,,
2019,1,2,6,0,30,-106,0.8,17,83,772,341,423,0,945.8,202.6,6.297,64,,
2019,1,2,7,0,32.1,-102,0,16.1,91,896,567,658,0,945.8,197.5,5.199,51,,
2019,1,2,8,0,34,-99,0,13.9,101,953,758,859,0,945.4,189.1,3.688,37,,
2019,1,2,9,0,36,-96,0,11.8,108,984,901,1009,0,945,200.3,3.334,23,,
2019,1,2,10,0,37.5,-95,0,10.4,114,997,981,1095,0,944.6,210,3.367,10,,
2019,1,2,11,0,38.8,107,0.8,9.8,137,967,962,1099,0,944.1,198.3,4.211,5,,
2019,1,2,12,0,40,95,5.2,9.2,228,809,768,996,0,943.5,201,5.153,18,,
2019,1,2,13,0,40.6,98,23.6,8.6,455,294,254,709,0,943.1,203.4,4.614,32,,
2019,1,2,14,0,40.5,101,34.6,8.1,423,91,65,488,0,942.7,212,4.789,45,,
2019,1,2,15,0,40.5,104,59.2,7.6,208,0,0,208,0,942.3,213.1,4.837,59,,
2019,1,2,16,0,39.4,108,53.3,7.8,124,8,3,127,0,942.4,231.5,4.853,72,,
2019,1,2,17,0,37.3,113,26.4,8.5,33,13,1,34,0,943,238.5,5.525,85,,
2019,1,2,18,0,35.2,119,3.6,9.3,0,0,0,0,0,943.6,247.4,4.456,98,,
2019,1,2,19,0,33.5,127,24.5,9.3,0,0,0,0,0,944.2,330.9,15.581,109,,
2019,1,2,20,0,31.9,137,24.3,8.7,0,0,0,0,0,944.7,310.4,11.074,120,,
2019,1,2,21,0,30.4,150,24.6,8.1,0,0,0,0,0,945.2,290.5,11.328,128,,
2019,1,2,22,0,29.1,167,0.9,7.9,0,0,0,0,0,945.3,265.2,9.167,133,,
2019,1,2,23,0,28,-174,0,8,0,0,0,0,0,945,245.8,8.346,134,,
2019,1,3,0,0,26.9,-156,0,8.1,0,0,0,0,0,944.8,214.4,7.872,130,,
2019,1,3,1,0,26.2,-141,0,8.1,0,0,0,0,0,944.9,208.1,8.008,123,,
2019,1,3,2,0,25.8,-130,0,8.2,0,0,0,0,0,945.3,200.5,7.813,114,,
2019,1,3,3,0,25.5,-122,0,8.2,0,0,0,0,0,945.7,183.8,7.853,102,,
2019,1,3,4,0,26.4,-115,2.1,8.2,11,44,4,15,0,946.1,168.5,6.879,90,,
