country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Upper Spencer Gulf,9,-33.609734,136.706349,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,17.7,-171,30.7,13.3,0,0,0,0,0,995,134.5,6.153,122,,
2015,1,1,1,0,17.2,-155,10.3,13.5,0,0,0,0,0,994.6,137,5.715,119,,
2015,1,1,2,0,16.6,-142,8.1,13.6,0,0,0,0,0,994.2,134.4,5.345,112,,
2015,1,1,3,0,16.7,-131,37,13.9,0,0,0,0,0,994.2,126.5,4.873,103,,
2015,1,1,4,0,17.2,-121,58.1,14.4,2,1,0,2,0,994.5,125,4.292,93,,
2015,1,1,5,0,17.8,-113,38.5,14.9,75,33,8,83,0,994.8,111.8,3.949,82,,
2015,1,1,6,0,20,-105,15.2,14.8,139,345,137,276,0,994.9,87.9,4.362,70,,
2015,1,1,7,0,23.4,-98,8.2,14.3,178,598,319,497,0,994.9,73,3.89,58,,
2015,1,1,8,0,26.9,-90,2.7,13.8,141,836,590,731,0,994.9,72.6,2.907,46,,
2015,1,1,9,0,29.4,-81,0,12.5,118,964,800,919,0,994.6,145.8,6.348,34,,
2015,1,1,10,0,31.3,-64,1.6,10.6,160,934,862,1022,0,994.1,157.3,6.42,22,,
2015,1,1,11,0,33,-24,7.8,8.7,297,739,716,1013,0,993.6,168.5,7.352,13,,
2015,1,1,12,0,34.1,33,5.5,7.6,249,812,785,1034,0,993,170.3,8.037,14,,
2015,1,1,13,0,34.6,67,2.2,7.2,177,902,824,1000,0,992.3,172.4,8.937,23,,
2015,1,1,14,0,35,82,0.8,6.9,135,929,752,887,0,991.7,171.4,9.5,35,,
2015,1,1,15,0,34.9,92,0,7.3,98,928,621,719,0,991.3,170.9,9.904,48,,
2015,1,1,16,0,34.2,99,0,8.4,82,855,427,509,0,991.2,169.6,9.954,60,,
2015,1,1,17,0,33.5,106,0,9.6,64,692,220,284,0,991.1,172,10.115,72,,
2015,1,1,18,0,31.9,114,0,9.4,28,264,56,84,0,991.3,172.9,10.435,84,,
2015,1,1,19,0,29.7,122,0,8.2,5,22,2,7,0,991.8,170.2,11.92,95,,
2015,1,1,20,0,27.3,132,0,6.8,0,0,0,0,0,992.2,165.1,12.216,105,,
2015,1,1,21,0,26.1,144,0,6.5,0,0,0,0,0,992.4,156.1,11.913,113,,
2015,1,1,22,0,25.7,158,0,7,0,0,0,0,0,992.2,148.2,12.055,119,,
2015,1,1,23,0,25.4,173,0,7.5,0,0,0,0,0,992,145.5,11.689,123,,
2015,1,2,0,0,25.2,-171,0,7.5,0,0,0,0,0,991.8,141.4,11.51,122,,
2015,1,2,1,0,25,-155,0,7.1,0,0,0,0,0,991.5,138.4,11.086,119,,
2015,1,2,2,0,24.8,-142,0,6.6,0,0,0,0,0,991.3,137.5,10.661,112,,
2015,1,2,3,0,24.8,-131,0,6.2,0,0,0,0,0,991.4,137.5,10.464,104,,
2015,1,2,4,0,25,-121,0,5.8,1,9,2,3,0,991.8,137.5,10.597,93,,
2015,1,2,5,0,25.2,-113,0,5.5,31,417,85,116,0,992.2,132.3,10.651,82,,
2015,1,2,6,0,27.3,-105,0,5.3,59,778,267,326,0,992.5,126.5,9.755,71,,
2015,1,2,7,0,30.8,-98,0,5.3,72,918,483,555,0,992.7,119.4,8.173,58,,
2015,1,2,8,0,34.4,-90,0,5.2,83,986,683,766,0,992.9,126.5,5.755,46,,
2015,1,2,9,0,36.4,-81,0.9,4.9,114,985,815,929,0,992.7,125.8,5.078,34,,
2015,1,2,10,0,37.2,-64,0.5,4.3,114,1016,940,1054,0,992.2,123.7,5.089,22,,
2015,1,2,11,0,37.8,-24,0,3.7,108,1042,1013,1121,0,991.7,132.6,5.145,13,,
2015,1,2,12,0,38.4,32,0,3.4,110,1037,1004,1115,0,991.2,140.4,5.286,14,,
2015,1,2,13,0,38.9,67,0,3.3,110,1021,933,1043,0,990.6,143.1,5.702,23,,
2015,1,2,14,0,39.3,82,0,3.3,106,990,804,911,0,990.1,147.8,5.926,35,,
2015,1,2,15,0,38.9,92,0,5.7,98,942,632,730,0,989.8,151.5,6.548,48,,
2015,1,2,16,0,37.8,99,0,10.1,86,855,429,515,0,989.7,155.4,7.041,60,,
2015,1,2,17,0,36.7,106,0,14.5,68,682,218,286,0,989.6,159.6,7.134,72,,
2015,1,2,18,0,34.5,114,0,14.8,30,250,54,84,0,989.6,160,7.192,84,,
2015,1,2,19,0,31.5,122,0,12.1,5,18,2,6,0,989.8,152.2,8.375,95,,
2015,1,2,20,0,28.4,132,0,8.9,0,0,0,0,0,990,143.6,8.902,105,,
2015,1,2,21,0,26.2,144,0,8.4,0,0,0,0,0,990,135.7,9.412,113,,
2015,1,2,22,0,24.7,157,0,9.9,0,0,0,0,0,989.7,129.8,9.146,119,,
2015,1,2,23,0,23.4,173,0,11.7,0,0,0,0,0,989.5,117.5,9.601,123,,
2015,1,3,0,0,23.2,-171,0,11.1,0,0,0,0,0,989.2,102.1,10.008,122,,
