Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433
Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673
Temperature,Speed,Direction,Pressure,Temperature,Speed,Direction,Pressure
C,m/s,degrees,atm,C,m/s,degrees,atm
31.0,12.121,185.1,0.98119911176906,31.0,8.707424657243383,185.1,0.98119911176906
29.2,12.164,182.6,0.9813964964224031,29.2,8.73831478679222,182.6,0.9813964964224031
27.4,11.607,174.0,0.9814951887490747,27.4,8.3381798528689,174.0,0.9814951887490747
26.6,9.319,164.8,0.9814951887490747,26.6,6.694537610828403,164.8,0.9814951887490747
26.5,7.962,159.8,0.98119911176906,26.5,5.719702592275539,159.8,0.98119911176906
26.4,7.279,164.2,0.9809030347890452,26.4,5.229052395023065,164.2,0.9809030347890452
26.2,7.7,173.0,0.9809030347890452,26.2,5.531488314559363,173.0,0.9809030347890452
26.0,8.256,169.0,0.9811004194423883,26.0,5.930904873376896,169.0,0.9811004194423883
25.8,8.279,170.0,0.9812978040957315,25.8,5.9474275008099955,170.0,0.9812978040957315
26.3,8.075,175.0,0.9813964964224031,26.3,5.800878979229462,175.0,0.9813964964224031
27.2,6.433,178.3,0.9812978040957315,27.2,4.621307055527322,178.3,0.9812978040957315
28.2,6.856,174.7,0.9812978040957315,28.2,4.925179725275194,174.7,0.9812978040957315
28.4,7.071,170.1,0.98119911176906,28.4,5.079630373019383,170.1,0.98119911176906
28.0,7.408,168.2,0.9811004194423883,28.0,5.32172278366958,168.2,0.9811004194423883
27.5,8.038,170.1,0.9810017271157168,27.5,5.774299100315345,170.1,0.9810017271157168
27.2,9.131,173.2,0.980705650135702,27.2,6.559483090940461,173.2,0.980705650135702
27.1,10.464,172.2,0.9803108808290155,27.1,7.5170771069544395,172.2,0.9803108808290155
27.0,11.197,173.1,0.9798174191956575,27.0,8.043646059496258,173.1,0.9798174191956575
26.9,11.733,174.5,0.9795213422156427,26.9,8.428695116198053,174.5,0.9795213422156427
26.9,12.264,179.3,0.9793239575622995,26.9,8.810152297370912,179.3,0.9793239575622995
26.9,13.269,182.8,0.979225265235628,26.9,9.532119278686778,182.8,0.979225265235628
26.4,12.841,182.6,0.9791265729089563,26.4,9.224654733409972,182.6,0.9791265729089563
25.4,12.308,184.8,0.979225265235628,25.4,8.841760802025536,184.8,0.979225265235628
24.4,13.445,188.0,0.9793239575622995,24.4,9.658553297305277,188.0,0.9793239575622995
23.9,13.255,186.4,0.979225265235628,23.9,9.522062027205761,186.4,0.979225265235628
23.8,12.376,182.0,0.9789291882556131,23.8,8.89061030921905,182.0,0.9789291882556131
23.7,11.702,179.6,0.9786331112755984,23.7,8.406425487918659,179.6,0.9786331112755984
23.4,11.363,181.3,0.9784357266222551,23.4,8.162896327056888,181.3,0.9784357266222551
22.9,11.025,178.3,0.9781396496422403,22.9,7.920085541300907,178.3,0.9781396496422403
22.5,9.518,155.6,0.9778435726622254,22.5,6.837494256880002,155.6,0.9778435726622254
22.1,9.459,148.3,0.9780409573155687,22.1,6.795110125638573,148.3,0.9780409573155687
21.7,9.093,153.9,0.9786331112755984,21.7,6.532184836920557,153.9,0.9786331112755984
21.4,10.265,161.8,0.9791265729089563,21.4,7.37412046090284,161.8,0.9791265729089563
21.2,9.701,151.9,0.9795213422156427,21.2,6.968956901239011,151.9,0.9795213422156427
21.1,9.132,147.6,0.979718726868986,21.1,6.560201466046247,147.6,0.979718726868986
21.0,8.974,151.5,0.9798174191956575,21.0,6.446698199331912,151.5,0.9798174191956575
21.3,8.898,158.2,0.979718726868986,21.3,6.392101691292106,158.2,0.979718726868986
21.9,8.88,157.9,0.9793239575622995,21.9,6.379170939387941,157.9,0.9793239575622995
22.5,9.212,159.3,0.9789291882556131,22.5,6.617671474509201,159.3,0.9789291882556131
22.5,8.458,165.6,0.9786331112755984,22.5,6.076016644745857,165.6,0.9786331112755984
22.1,8.549,167.2,0.9783370342955835,22.1,6.141388779372466,167.2,0.9783370342955835
21.5,8.977,166.5,0.9780409573155687,21.5,6.448853324649273,166.5,0.9780409573155687
21.1,9.528,171.4,0.9779422649888971,21.1,6.844678007937872,171.4,0.9779422649888971
20.8,10.763,176.2,0.9780409573155687,20.8,7.73187126358473,176.2,0.9780409573155687
20.4,11.901,181.6,0.9781396496422403,20.4,8.549382133970257,181.6,0.9781396496422403
20.0,12.018,186.4,0.9784357266222551,20.0,8.633432021347328,186.4,0.9784357266222551
19.6,13.276,189.2,0.9789291882556131,19.6,9.537147904427286,189.2,0.9789291882556131
19.1,13.247,181.2,0.9794226498889711,19.1,9.516315026359466,181.2,0.9794226498889711
18.9,11.266,159.5,0.9795213422156427,18.9,8.093213941795556,159.5,0.9795213422156427
19.0,11.945,156.9,0.9793239575622995,19.0,8.580990638624883,156.9,0.9793239575622995
19.2,11.831,161.2,0.9791265729089563,19.2,8.499095876565171,161.2,0.9791265729089563
19.2,11.787,162.8,0.9789291882556131,19.2,8.467487371910547,162.8,0.9789291882556131
19.1,11.457,161.5,0.97873180360227,19.1,8.23042358700086,161.5,0.97873180360227
19.0,11.045,158.6,0.9786331112755984,19.0,7.934453043416645,158.6,0.9786331112755984
19.0,10.467,159.6,0.9788304959289414,19.0,7.519232232271799,159.6,0.9788304959289414
18.9,10.106,156.7,0.9793239575622995,18.9,7.259898819082718,156.7,0.9793239575622995
18.9,8.976,154.4,0.9799161115223292,18.9,6.448134949543487,154.4,0.9799161115223292
18.9,6.53,150.3,0.9801134961756723,18.9,4.6909894407886545,150.3,0.9801134961756723
18.9,4.337,135.5,0.9801134961756723,18.9,3.1155928337979164,135.5,0.9801134961756723
19.0,2.974,142.9,0.9800148038490007,19.0,2.136447564610331,142.9,0.9800148038490007
19.2,2.273,140.3,0.9800148038490007,19.2,1.6328666154536926,140.3,0.9800148038490007
19.7,1.709,126.8,0.9798174191956575,19.7,1.2277030557898638,126.8,0.9798174191956575
20.2,1.519,121.4,0.979718726868986,20.2,1.091211785690347,121.4,0.979718726868986
20.7,1.444,141.1,0.9796200345423144,20.7,1.0373336527563273,141.1,0.9796200345423144
21.3,2.071,164.4,0.9795213422156427,21.3,1.4877548440847328,164.4,0.9795213422156427
21.8,2.887,168.5,0.9794226498889711,21.8,2.0739489304068677,168.5,0.9794226498889711
22.0,4.304,157.9,0.9794226498889711,22.0,3.0918864553069483,157.9,0.9794226498889711
21.9,4.694,150.7,0.9796200345423144,21.9,3.372052746563851,150.7,0.9796200345423144
21.8,5.95,148.7,0.9798174191956575,21.8,4.274331879432236,148.7,0.9798174191956575
21.4,6.46,147.3,0.9803108808290155,21.4,4.64070318338357,147.3,0.9803108808290155
20.8,6.63,145.9,0.9810017271157168,20.8,4.762826951367347,145.9,0.9810017271157168
20.1,6.768,148.8,0.981692573402418,20.1,4.8619627159659435,148.8,0.981692573402418
19.9,7.691,140.5,0.9819886503824328,19.9,5.525022938607281,140.5,0.9819886503824328
20.0,7.531,132.3,0.9818899580557612,20.0,5.410082921681371,132.3,0.9818899580557612
20.2,7.184,115.6,0.9817912657290895,20.2,5.160806759973307,115.6,0.9817912657290895
20.2,6.722,104.3,0.9817912657290895,20.2,4.828917461099746,104.3,0.9817912657290895
20.2,5.434,89.4,0.9817912657290895,20.2,3.9036503248461796,89.4,0.9817912657290895
20.1,3.825,85.1,0.9817912657290895,20.1,2.7477847796350083,85.1,0.9817912657290895
20.1,3.191,62.7,0.9820873427091044,20.1,2.2923349625660947,62.7,0.9820873427091044
20.0,3.639,49.6,0.982679496669134,20.0,2.614167009958639,49.6,0.982679496669134
20.0,4.658,38.8,0.9832716506291636,20.0,3.3461912427555216,38.8,0.9832716506291636
20.3,5.435,26.3,0.9834690352825067,20.3,3.9043686999519656,26.3,0.9834690352825067
20.9,5.703,23.3,0.9833703429558351,20.9,4.096893228302863,23.3,0.9833703429558351
21.6,4.511,17.0,0.9832716506291636,21.6,3.2405901022048424,17.0,0.9832716506291636
22.1,5.031,9.3,0.9829755736491488,22.1,3.614145157214046,9.3,0.9829755736491488
22.4,4.38,352.7,0.9824821120157907,22.4,3.1464829633467546,352.7,0.9824821120157907
22.8,3.32,349.2,0.9819886503824328,22.8,2.3850053512126084,349.2,0.9819886503824328
23.2,2.332,1.9,0.9815938810757464,23.2,1.6752507466951212,1.9,0.9815938810757464
23.6,2.104,26.9,0.98119911176906,23.6,1.5114612225757014,26.9,0.98119911176906
24.1,2.875,80.2,0.9808043424623735,24.1,2.0653284291374243,80.2,0.9808043424623735
24.2,5.793,97.6,0.9806069578090304,24.2,4.161546987823687,97.6,0.9806069578090304
24.2,8.111,99.3,0.9804095731556871,24.2,5.826740483037792,99.3,0.9804095731556871
24.1,8.65,91.1,0.9803108808290155,24.1,6.213944665056947,91.1,0.9803108808290155
23.7,7.17,72.8,0.9804095731556871,23.7,5.15074950849229,72.8,0.9804095731556871
23.1,9.781,53.2,0.980705650135702,23.1,7.026426909701965,53.2,0.980705650135702
22.5,11.537,42.8,0.9811004194423883,22.5,8.287893595463816,42.8,0.9811004194423883
22.2,12.671,43.0,0.9810017271157168,22.2,9.102530965426194,43.0,0.9810017271157168
22.3,15.222,24.8,0.980705650135702,22.3,10.935105860288651,24.8,0.980705650135702
22.4,16.653,20.1,0.9803108808290155,22.4,11.963100636669749,20.1,0.9803108808290155
22.4,14.929,17.7,0.9800148038490007,22.4,10.724621954293081,17.7,0.9800148038490007
22.3,15.921,308.2,0.979718726868986,22.3,11.437250059233715,308.2,0.979718726868986
22.3,16.549,323.7,0.9794226498889711,22.3,11.888389625667909,323.7,0.9794226498889711
22.2,11.047,279.4,0.9794226498889711,22.2,7.93588979362822,279.4,0.9794226498889711
22.2,11.33,226.8,0.979718726868986,22.2,8.139189948565921,226.8,0.979718726868986
22.3,12.543,207.9,0.9800148038490007,22.3,9.010578951885467,207.9,0.9800148038490007
22.7,9.871,201.8,0.9798174191956575,22.7,7.09108066922279,201.8,0.9798174191956575
23.6,9.42,193.8,0.9794226498889711,23.6,6.767093496512883,193.8,0.9794226498889711
24.4,10.894,195.3,0.9789291882556131,24.4,7.825978402442818,195.3,0.9789291882556131
24.6,11.82,191.8,0.9784357266222551,24.6,8.491193750401516,191.8,0.9784357266222551
24.3,11.903,184.2,0.9780409573155687,24.3,8.550818884181831,184.2,0.9780409573155687
23.9,11.848,177.4,0.9775474956822107,23.9,8.51130825336355,177.4,0.9775474956822107
23.6,11.75,173.2,0.9770540340488527,23.6,8.440907492996432,173.2,0.9770540340488527
23.4,12.113,177.9,0.9765605724154947,23.4,8.701677656397086,177.9,0.9765605724154947
23.1,13.236,182.3,0.9760671107821367,23.1,9.50841290019581,182.3,0.9760671107821367
23.0,14.038,180.8,0.9757710338021219,23.0,10.084549735036926,180.8,0.9757710338021219
22.8,14.808,181.4,0.9755736491487786,22.8,10.637698566492864,181.4,0.9755736491487786
22.7,15.509,183.5,0.975474956822107,22.7,11.141279515649503,183.5,0.975474956822107
22.6,15.321,182.1,0.9756723414754503,22.6,11.006224995761558,182.1,0.9756723414754503
22.4,16.976,177.8,0.9760671107821367,22.4,12.195135795838928,177.8,0.9760671107821367
22.3,15.21,176.4,0.9765605724154947,22.3,10.92648535901921,176.4,0.9765605724154947
22.1,14.694,175.8,0.9766592647421664,22.1,10.555803804433154,175.8,0.9766592647421664
21.8,14.209,176.7,0.9764618800888231,21.8,10.207391878126492,176.7,0.9764618800888231
21.5,13.556,173.4,0.9763631877621515,21.5,9.738292934047626,173.4,0.9763631877621515
21.1,13.225,171.5,0.9762644954354799,21.1,9.500510774032152,171.5,0.9762644954354799
